loan_amnt,term,int_rate,installment,grade,home_ownership,annual_inc,verification_status,loan_status,delinq_2yrs,pub_rec
5000, 36 months,10.65,162.87,B,RENT,24000,Verified,Fully Paid,0,0
2500, 60 months,15.2,59.83,C,RENT,30000,Source Verified,Charged Off,0,0
2400, 36 months,15.9,84.33,C,RENT,12252,Not Verified,Fully Paid,0,0
10000, 36 months,13.4,339.31,C,RENT,49200,Source Verified,Fully Paid,0,0
3000, 60 months,12.6,67.79,B,RENT,80000,Source Verified,Fully Paid,0,0
5000, 36 months,7.9,156.46,A,RENT,36000,Source Verified,Fully Paid,0,0
7000, 60 months,15.9,170.08,C,RENT,47004,Not Verified,Fully Paid,0,0
3000, 36 months,18.6,109.43,E,RENT,48000,Source Verified,Fully Paid,0,0
5600, 60 months,21.2,152.39,F,OWN,40000,Source Verified,Charged Off,0,0
5375, 60 months,12.6,121.45,B,RENT,15000,Verified,Charged Off,0,0
6500, 60 months,14.6,153.45,C,OWN,72000,Not Verified,Fully Paid,0,0
12000, 36 months,12.6,402.54,B,OWN,75000,Source Verified,Fully Paid,0,0
9000, 36 months,13.4,305.38,C,RENT,30000,Source Verified,Charged Off,0,0
3000, 36 months,9.91,96.68,B,RENT,15000,Source Verified,Fully Paid,0,0
10000, 36 months,10.6,325.74,B,RENT,1.00E+05,Source Verified,Charged Off,0,0
1000, 36 months,16.2,35.31,D,RENT,28000,Not Verified,Fully Paid,0,0
10000, 36 months,15.2,347.98,C,RENT,42000,Not Verified,Fully Paid,0,0
3600, 36 months,6.03,109.57,A,MORTGAGE,110000,Not Verified,Fully Paid,0,0
6000, 36 months,11.7,198.46,B,MORTGAGE,84000,Verified,Fully Paid,2,0
9200, 36 months,6.03,280.01,A,RENT,77385.19,Not Verified,Fully Paid,0,0
20250, 60 months,15.2,484.63,C,RENT,43370,Verified,Fully Paid,0,0
21000, 36 months,12.4,701.73,B,RENT,105000,Verified,Charged Off,0,0
10000, 36 months,11.7,330.76,B,OWN,50000,Source Verified,Fully Paid,0,0
10000, 36 months,11.7,330.76,B,RENT,50000,Not Verified,Fully Paid,0,0
6000, 36 months,11.7,198.46,B,RENT,76000,Not Verified,Charged Off,0,0
15000, 36 months,9.91,483.38,B,MORTGAGE,92000,Verified,Fully Paid,0,0
15000, 36 months,14.2,514.64,C,RENT,60000,Not Verified,Charged Off,0,0
5000, 60 months,16.7,123.65,D,RENT,50004,Not Verified,Charged Off,3,0
4000, 36 months,11.7,132.31,B,MORTGAGE,106000,Not Verified,Fully Paid,1,0
8500, 36 months,11.7,281.15,B,RENT,25000,Source Verified,Fully Paid,0,0
4375, 36 months,7.51,136.11,A,MORTGAGE,17108,Source Verified,Fully Paid,0,0
31825, 36 months,7.9,995.82,A,MORTGAGE,75000,Verified,Fully Paid,0,0
10000, 60 months,15.9,242.97,C,RENT,29120,Verified,Fully Paid,0,0
5000, 36 months,8.9,158.77,A,RENT,24044,Verified,Fully Paid,0,0
7000, 36 months,15.9,245.97,C,RENT,34000,Source Verified,Fully Paid,0,0
12400, 36 months,10.6,403.91,B,RENT,41000,Not Verified,Fully Paid,0,0
10800, 36 months,9.91,348.03,B,RENT,55596,Source Verified,Fully Paid,0,0
15000, 36 months,7.9,469.36,A,RENT,45000,Verified,Fully Paid,0,0
6000, 36 months,12.4,200.5,B,RENT,36852,Source Verified,Fully Paid,0,0
12500, 60 months,12.6,282.44,B,RENT,27000,Verified,Fully Paid,0,0
9600, 36 months,7.51,298.67,A,RENT,68004,Source Verified,Fully Paid,0,0
12000, 36 months,7.9,375.49,A,RENT,62300,Not Verified,Fully Paid,0,0
3000, 36 months,18.2,108.84,D,MORTGAGE,65000,Not Verified,Fully Paid,0,0
4400, 36 months,16.7,156.37,D,RENT,55000,Not Verified,Fully Paid,0,0
6000, 36 months,6.03,182.62,A,MORTGAGE,45600,Not Verified,Fully Paid,0,0
14000, 36 months,9.91,451.15,B,RENT,80000,Not Verified,Fully Paid,0,0
5000, 36 months,8.9,158.77,A,MORTGAGE,1.00E+05,Source Verified,Charged Off,0,0
10000, 36 months,10.6,325.74,B,RENT,27000,Verified,Fully Paid,0,0
10000, 36 months,6.03,304.36,A,RENT,60000,Not Verified,Fully Paid,0,0
11000, 36 months,6.62,337.75,A,RENT,70000,Not Verified,Fully Paid,0,0
15000, 36 months,9.91,483.38,B,MORTGAGE,80000,Not Verified,Charged Off,0,0
25600, 36 months,9.91,824.96,B,RENT,110000,Verified,Fully Paid,0,0
7000, 36 months,10.6,228.02,B,RENT,40000,Not Verified,Fully Paid,0,0
12000, 36 months,15.9,421.65,C,RENT,50000,Not Verified,Charged Off,0,0
12000, 36 months,9.91,386.7,B,RENT,46000,Not Verified,Fully Paid,0,0
21000, 60 months,19.9,555.33,E,RENT,50000,Verified,Charged Off,0,0
16000, 60 months,19.9,423.11,E,RENT,81000,Verified,Fully Paid,0,0
10000, 36 months,12.4,334.16,B,OWN,39000,Not Verified,Fully Paid,0,0
10000, 36 months,10.6,325.74,B,RENT,51400,Not Verified,Fully Paid,0,0
7100, 36 months,16.7,252.33,D,MORTGAGE,33000,Verified,Fully Paid,0,0
13000, 60 months,12.6,293.74,B,MORTGAGE,30000,Source Verified,Fully Paid,0,0
17500, 60 months,17.2,223.74,D,RENT,40000,Verified,Fully Paid,0,0
17675, 60 months,14.6,417.25,C,RENT,50000,Source Verified,Fully Paid,0,0
8000, 36 months,16.7,284.31,D,RENT,62000,Not Verified,Fully Paid,0,0
10000, 60 months,10.6,215.69,B,RENT,45996,Verified,Charged Off,0,0
3500, 36 months,10.6,114.01,B,MORTGAGE,55000,Not Verified,Fully Paid,0,0
12500, 60 months,17.2,223.11,D,RENT,30000,Source Verified,Charged Off,0,1
16425, 36 months,14.2,563.53,C,RENT,44544,Source Verified,Fully Paid,0,0
8200, 60 months,21.2,223.14,F,RENT,75000,Source Verified,Charged Off,0,0
15000, 36 months,14.6,517.42,C,OWN,61000,Verified,Fully Paid,0,0
20975, 60 months,17.5,341.63,D,MORTGAGE,44000,Verified,Fully Paid,0,1
6400, 36 months,16.7,227.45,D,RENT,75000,Not Verified,Charged Off,0,0
3000, 36 months,13.4,101.8,C,RENT,33600,Not Verified,Fully Paid,0,0
12000, 36 months,16.7,426.47,D,RENT,50000,Not Verified,Fully Paid,0,0
14400, 36 months,8.9,457.25,A,OWN,150000,Source Verified,Fully Paid,0,0
12000, 36 months,14.6,413.94,C,RENT,90000,Not Verified,Fully Paid,0,0
11000, 36 months,13.4,373.24,C,MORTGAGE,48000,Verified,Fully Paid,0,0
7250, 60 months,21.6,197.51,F,RENT,75000,Verified,Fully Paid,0,1
15000, 36 months,7.9,469.36,A,MORTGAGE,52000,Not Verified,Fully Paid,0,0
18000, 60 months,19.9,475.99,E,MORTGAGE,65000,Not Verified,Fully Paid,0,0
35000, 60 months,17.2,551.84,D,MORTGAGE,150000,Verified,Fully Paid,0,0
10000, 36 months,14.2,343.09,C,RENT,68000,Source Verified,Fully Paid,0,0
11800, 36 months,12.6,395.83,B,RENT,42000,Source Verified,Fully Paid,0,0
4500, 36 months,6.03,136.96,A,RENT,53000,Source Verified,Fully Paid,0,0
7000, 36 months,12.6,234.82,B,RENT,35000,Source Verified,Fully Paid,0,0
9200, 36 months,12.4,307.43,B,RENT,60000,Source Verified,Fully Paid,0,0
14000, 60 months,17.2,349.98,D,RENT,28000,Verified,Fully Paid,0,0
4500, 60 months,10.6,97.06,B,MORTGAGE,42000,Source Verified,Fully Paid,0,0
12000, 36 months,16.2,423.61,D,RENT,88365,Verified,Fully Paid,0,0
12000, 36 months,13.4,407.17,C,RENT,72000,Source Verified,Fully Paid,0,0
12000, 36 months,10.6,390.88,B,RENT,62000,Verified,Fully Paid,0,0
7000, 36 months,10.6,228.02,B,MORTGAGE,43680,Not Verified,Fully Paid,0,0
8200, 60 months,19.4,214.62,E,RENT,120000,Source Verified,Fully Paid,0,0
10500, 36 months,12.6,352.23,B,RENT,66000,Verified,Fully Paid,1,0
7000, 36 months,11.7,231.54,B,OWN,39120,Not Verified,Fully Paid,0,1
15300, 60 months,22,423.1,F,RENT,85000,Verified,Fully Paid,0,0
20000, 60 months,11.7,282.86,B,MORTGAGE,47800,Verified,Fully Paid,0,0
17500, 60 months,17.2,437.47,D,MORTGAGE,45000,Not Verified,Charged Off,0,0
3500, 36 months,6.03,106.53,A,MORTGAGE,83000,Verified,Fully Paid,0,0
6000, 60 months,12.6,135.57,B,RENT,81000,Source Verified,Fully Paid,1,0
6200, 36 months,9.91,199.8,B,RENT,25000,Not Verified,Charged Off,0,0
16000, 60 months,17.5,402.65,D,RENT,65000,Not Verified,Fully Paid,0,0
6000, 36 months,8.9,190.52,A,OWN,28800,Not Verified,Fully Paid,0,0
7200, 36 months,9.91,232.02,B,RENT,135000,Not Verified,Fully Paid,0,0
9500, 36 months,8.9,301.66,A,MORTGAGE,50000,Not Verified,Fully Paid,0,0
18825, 60 months,16.7,465.53,D,RENT,38000,Verified,Charged Off,0,0
24000, 36 months,10.6,781.76,B,RENT,45000,Verified,Fully Paid,0,0
6000, 36 months,13.4,203.59,C,RENT,80000,Not Verified,Fully Paid,0,0
6000, 36 months,13.4,203.59,C,RENT,50000,Not Verified,Fully Paid,0,0
2100, 36 months,12.4,70.18,B,MORTGAGE,30000,Not Verified,Fully Paid,0,0
5500, 36 months,6.62,168.88,A,MORTGAGE,110000,Verified,Fully Paid,0,0
11000, 36 months,6.62,337.75,A,OWN,45608,Source Verified,Fully Paid,0,0
26800, 60 months,20.8,723.38,F,MORTGAGE,120000,Verified,Fully Paid,0,0
8000, 36 months,12.6,268.36,B,MORTGAGE,35000,Not Verified,Fully Paid,0,0
10000, 36 months,18.2,362.78,D,RENT,75000,Source Verified,Charged Off,0,0
8000, 36 months,11.7,264.61,B,MORTGAGE,35000,Verified,Fully Paid,0,0
10000, 36 months,8.9,317.54,A,RENT,24000,Verified,Fully Paid,0,0
12000, 36 months,11.7,396.92,B,MORTGAGE,126000,Not Verified,Fully Paid,0,0
10000, 36 months,7.9,312.91,A,RENT,43000,Not Verified,Fully Paid,0,0
12000, 36 months,9.91,386.7,B,RENT,50000,Not Verified,Fully Paid,0,0
25000, 60 months,13.4,575.12,C,MORTGAGE,67000,Verified,Charged Off,0,0
19750, 36 months,10.6,643.33,B,RENT,45000,Verified,Charged Off,0,0
10000, 36 months,9.91,322.25,B,RENT,31200,Source Verified,Fully Paid,0,0
13650, 36 months,12.4,456.12,B,RENT,66000,Verified,Fully Paid,0,0
28000, 60 months,19.9,312.04,E,RENT,52000,Verified,Charged Off,0,0
18000, 36 months,7.9,563.23,A,RENT,56964,Source Verified,Fully Paid,0,0
2500, 36 months,14.2,85.78,C,RENT,49500,Source Verified,Fully Paid,0,0
21000, 60 months,20.3,559.89,E,RENT,70000,Verified,Fully Paid,0,0
35000, 36 months,8.9,1111.37,A,MORTGAGE,125000,Verified,Fully Paid,0,0
10000, 36 months,7.51,311.11,A,RENT,33000,Not Verified,Fully Paid,0,0
7000, 36 months,12.6,234.82,B,RENT,30000,Source Verified,Fully Paid,0,0
24000, 36 months,15.9,843.3,C,MORTGAGE,90000,Source Verified,Charged Off,0,0
10625, 36 months,7.51,330.56,A,MORTGAGE,23000,Not Verified,Fully Paid,0,0
5000, 36 months,14.6,172.48,C,RENT,24000,Source Verified,Fully Paid,0,0
8850, 36 months,6.62,271.73,A,RENT,62000,Source Verified,Fully Paid,0,0
6375, 36 months,7.51,198.34,A,RENT,44000,Source Verified,Fully Paid,0,0
6000, 36 months,11.7,198.46,B,RENT,90000,Not Verified,Fully Paid,1,0
11100, 36 months,6.62,340.82,A,RENT,41000,Verified,Charged Off,0,0
10000, 60 months,12.6,225.95,B,MORTGAGE,56000,Source Verified,Fully Paid,0,0
6200, 36 months,6.03,188.71,A,MORTGAGE,26500,Not Verified,Fully Paid,0,0
15000, 36 months,18.6,547.12,E,RENT,54000,Not Verified,Fully Paid,0,0
4200, 36 months,11.7,138.92,B,RENT,53000,Not Verified,Fully Paid,0,0
14000, 36 months,14.2,480.33,C,RENT,52800,Not Verified,Fully Paid,0,0
8875, 36 months,7.51,276.11,A,MORTGAGE,38000,Not Verified,Fully Paid,0,0
13500, 36 months,9.91,435.04,B,RENT,38000,Verified,Fully Paid,0,0
12000, 36 months,9.91,386.7,B,RENT,42000,Not Verified,Charged Off,0,0
16000, 60 months,19.9,423.11,E,RENT,55000,Verified,Fully Paid,0,0
21600, 60 months,19.4,565.32,E,MORTGAGE,60000,Source Verified,Fully Paid,1,0
6000, 36 months,10.6,195.44,B,MORTGAGE,87000,Not Verified,Fully Paid,2,0
8450, 60 months,16.7,208.97,D,OWN,25000,Verified,Fully Paid,0,0
20000, 60 months,13.4,460.1,C,RENT,82000,Not Verified,Fully Paid,0,0
10000, 36 months,11.7,330.76,B,RENT,60000,Not Verified,Charged Off,0,0
12000, 36 months,16.2,423.61,D,MORTGAGE,80000,Verified,Fully Paid,0,0
13475, 60 months,13.4,309.99,C,RENT,25000,Verified,Charged Off,0,0
7200, 36 months,12.4,240.59,B,RENT,48000,Not Verified,Fully Paid,0,0
5600, 36 months,14.6,193.17,C,MORTGAGE,85000,Not Verified,Charged Off,1,0
12000, 36 months,14.2,411.71,C,RENT,57000,Verified,Fully Paid,0,0
8500, 36 months,6.03,258.71,A,RENT,25000,Not Verified,Fully Paid,0,0
8000, 36 months,9.91,257.8,B,RENT,34000,Source Verified,Fully Paid,0,0
8000, 36 months,12.4,267.33,B,RENT,40000,Not Verified,Fully Paid,0,0
16000, 60 months,15.2,382.92,C,RENT,42656.4,Source Verified,Fully Paid,0,0
15000, 36 months,17.2,536.81,D,MORTGAGE,44400,Source Verified,Fully Paid,1,1
10000, 36 months,9.91,322.25,B,OWN,30000,Not Verified,Fully Paid,0,0
10000, 36 months,6.62,307.04,A,MORTGAGE,70000,Not Verified,Fully Paid,0,0
8000, 36 months,14.6,275.96,C,RENT,28000,Not Verified,Fully Paid,0,0
22000, 36 months,9.91,708.95,B,MORTGAGE,50000,Verified,Fully Paid,0,0
6000, 36 months,14.2,205.86,C,MORTGAGE,94800,Verified,Fully Paid,0,0
16000, 60 months,9.91,339.25,B,OWN,40000,Verified,Fully Paid,0,0
